frame,fss_sent_centric,sent_id,sentence,word
connectors,0.00495453442325,FNC-2539,"The security team should : A : Publish a periodic bulletin and distribute to all residents , advising them how to safely store gaz and logs B : Keep the firefighters alert at all times C : Report any thing that might be a fire hazard D : Warn against the safety of children 's toys E : Urge everyone to take precautions and guard their homes tightly",safety
cause_change,0.00495453442325,FNC-2539,"The security team should : A : Publish a periodic bulletin and distribute to all residents , advising them how to safely store gaz and logs B : Keep the firefighters alert at all times C : Report any thing that might be a fire hazard D : Warn against the safety of children 's toys E : Urge everyone to take precautions and guard their homes tightly",safety
people,0.0,FNC-2539,"The security team should : A : Publish a periodic bulletin and distribute to all residents , advising them how to safely store gaz and logs B : Keep the firefighters alert at all times C : Report any thing that might be a fire hazard D : Warn against the safety of children 's toys E : Urge everyone to take precautions and guard their homes tightly",safety
hindering,0.0,FNC-2539,"The security team should : A : Publish a periodic bulletin and distribute to all residents , advising them how to safely store gaz and logs B : Keep the firefighters alert at all times C : Report any thing that might be a fire hazard D : Warn against the safety of children 's toys E : Urge everyone to take precautions and guard their homes tightly",safety
supply,0.0,FNC-2539,"The security team should : A : Publish a periodic bulletin and distribute to all residents , advising them how to safely store gaz and logs B : Keep the firefighters alert at all times C : Report any thing that might be a fire hazard D : Warn against the safety of children 's toys E : Urge everyone to take precautions and guard their homes tightly",safety
commerce_scenario,0.0,FNC-2539,"The security team should : A : Publish a periodic bulletin and distribute to all residents , advising them how to safely store gaz and logs B : Keep the firefighters alert at all times C : Report any thing that might be a fire hazard D : Warn against the safety of children 's toys E : Urge everyone to take precautions and guard their homes tightly",safety
commitment,0.0,FNC-2539,"The security team should : A : Publish a periodic bulletin and distribute to all residents , advising them how to safely store gaz and logs B : Keep the firefighters alert at all times C : Report any thing that might be a fire hazard D : Warn against the safety of children 's toys E : Urge everyone to take precautions and guard their homes tightly",safety
connecting_architecture,0.0,FNC-2539,"The security team should : A : Publish a periodic bulletin and distribute to all residents , advising them how to safely store gaz and logs B : Keep the firefighters alert at all times C : Report any thing that might be a fire hazard D : Warn against the safety of children 's toys E : Urge everyone to take precautions and guard their homes tightly",safety
quantity,0.0,FNC-2539,"The security team should : A : Publish a periodic bulletin and distribute to all residents , advising them how to safely store gaz and logs B : Keep the firefighters alert at all times C : Report any thing that might be a fire hazard D : Warn against the safety of children 's toys E : Urge everyone to take precautions and guard their homes tightly",safety
being_at_risk,0.676315245417,FNC-2539,"The security team should : A : Publish a periodic bulletin and distribute to all residents , advising them how to safely store gaz and logs B : Keep the firefighters alert at all times C : Report any thing that might be a fire hazard D : Warn against the safety of children 's toys E : Urge everyone to take precautions and guard their homes tightly",safety
architectural_part,0.0,FNC-2539,"The security team should : A : Publish a periodic bulletin and distribute to all residents , advising them how to safely store gaz and logs B : Keep the firefighters alert at all times C : Report any thing that might be a fire hazard D : Warn against the safety of children 's toys E : Urge everyone to take precautions and guard their homes tightly",safety
gizmo,0.0,FNC-2539,"The security team should : A : Publish a periodic bulletin and distribute to all residents , advising them how to safely store gaz and logs B : Keep the firefighters alert at all times C : Report any thing that might be a fire hazard D : Warn against the safety of children 's toys E : Urge everyone to take precautions and guard their homes tightly",safety
measure_volume,0.0,FNC-2539,"The security team should : A : Publish a periodic bulletin and distribute to all residents , advising them how to safely store gaz and logs B : Keep the firefighters alert at all times C : Report any thing that might be a fire hazard D : Warn against the safety of children 's toys E : Urge everyone to take precautions and guard their homes tightly",safety
buildings,0.0,FNC-2539,"The security team should : A : Publish a periodic bulletin and distribute to all residents , advising them how to safely store gaz and logs B : Keep the firefighters alert at all times C : Report any thing that might be a fire hazard D : Warn against the safety of children 's toys E : Urge everyone to take precautions and guard their homes tightly",safety
defend,0.394480161532,FNC-2539,"The security team should : A : Publish a periodic bulletin and distribute to all residents , advising them how to safely store gaz and logs B : Keep the firefighters alert at all times C : Report any thing that might be a fire hazard D : Warn against the safety of children 's toys E : Urge everyone to take precautions and guard their homes tightly",safety
differentiation,0.0,FNC-2539,"The security team should : A : Publish a periodic bulletin and distribute to all residents , advising them how to safely store gaz and logs B : Keep the firefighters alert at all times C : Report any thing that might be a fire hazard D : Warn against the safety of children 's toys E : Urge everyone to take precautions and guard their homes tightly",safety
relational_quantity,0.0,FNC-2539,"The security team should : A : Publish a periodic bulletin and distribute to all residents , advising them how to safely store gaz and logs B : Keep the firefighters alert at all times C : Report any thing that might be a fire hazard D : Warn against the safety of children 's toys E : Urge everyone to take precautions and guard their homes tightly",safety
accoutrements,0.0,FNC-2539,"The security team should : A : Publish a periodic bulletin and distribute to all residents , advising them how to safely store gaz and logs B : Keep the firefighters alert at all times C : Report any thing that might be a fire hazard D : Warn against the safety of children 's toys E : Urge everyone to take precautions and guard their homes tightly",safety
clothing,0.0,FNC-2539,"The security team should : A : Publish a periodic bulletin and distribute to all residents , advising them how to safely store gaz and logs B : Keep the firefighters alert at all times C : Report any thing that might be a fire hazard D : Warn against the safety of children 's toys E : Urge everyone to take precautions and guard their homes tightly",safety
feeling,0.167717989033,FNC-0830,Their complaint : the system discourages working because unemployment provides benefits that many entry - level jobs do n't include .,discourages
communication,0.173959004801,FNC-0830,Their complaint : the system discourages working because unemployment provides benefits that many entry - level jobs do n't include .,discourages
assessing,0.0871196057916,FNC-0830,Their complaint : the system discourages working because unemployment provides benefits that many entry - level jobs do n't include .,discourages
people,0.0,FNC-0830,Their complaint : the system discourages working because unemployment provides benefits that many entry - level jobs do n't include .,discourages
attempt_suasion,0.342820011471,FNC-0830,Their complaint : the system discourages working because unemployment provides benefits that many entry - level jobs do n't include .,discourages
emotion_directed,0.353179146851,FNC-0830,Their complaint : the system discourages working because unemployment provides benefits that many entry - level jobs do n't include .,discourages
text_creation,0.0,FNC-0830,Their complaint : the system discourages working because unemployment provides benefits that many entry - level jobs do n't include .,discourages
cogitation,0.0871196057916,FNC-0830,Their complaint : the system discourages working because unemployment provides benefits that many entry - level jobs do n't include .,discourages
experiencer_obj,0.0871196057916,FNC-0830,Their complaint : the system discourages working because unemployment provides benefits that many entry - level jobs do n't include .,discourages
communication_manner,0.16117350583,FNC-0830,Their complaint : the system discourages working because unemployment provides benefits that many entry - level jobs do n't include .,discourages
defend,0.0609089482546,FNC-0830,Their complaint : the system discourages working because unemployment provides benefits that many entry - level jobs do n't include .,discourages
reporting,0.0,FNC-0830,Their complaint : the system discourages working because unemployment provides benefits that many entry - level jobs do n't include .,discourages
subjective_influence,0.364921488415,FNC-0830,Their complaint : the system discourages working because unemployment provides benefits that many entry - level jobs do n't include .,discourages
leadership,0.00509422847299,FNC-1652,"Closer to town is Lion Rock , shaped like a lion lying in wait .",lying
manipulation,0.0149428461321,FNC-1652,"Closer to town is Lion Rock , shaped like a lion lying in wait .",lying
communication,0.0,FNC-1652,"Closer to town is Lion Rock , shaped like a lion lying in wait .",lying
holding_off_on,0.197110593111,FNC-1652,"Closer to town is Lion Rock , shaped like a lion lying in wait .",lying
impact,0.0,FNC-1652,"Closer to town is Lion Rock , shaped like a lion lying in wait .",lying
people,0.0417156158766,FNC-1652,"Closer to town is Lion Rock , shaped like a lion lying in wait .",lying
attack,0.0,FNC-1652,"Closer to town is Lion Rock , shaped like a lion lying in wait .",lying
successful_action,0.0,FNC-1652,"Closer to town is Lion Rock , shaped like a lion lying in wait .",lying
people_by_morality,0.0,FNC-1652,"Closer to town is Lion Rock , shaped like a lion lying in wait .",lying
bringing,0.0,FNC-1652,"Closer to town is Lion Rock , shaped like a lion lying in wait .",lying
undergo_change,0.0778857255199,FNC-1652,"Closer to town is Lion Rock , shaped like a lion lying in wait .",lying
performers_and_roles,0.0778857255199,FNC-1652,"Closer to town is Lion Rock , shaped like a lion lying in wait .",lying
being_located,0.233739329839,FNC-1652,"Closer to town is Lion Rock , shaped like a lion lying in wait .",lying
posture,0.682872030427,FNC-1652,"Closer to town is Lion Rock , shaped like a lion lying in wait .",lying
behind_the_scenes,0.0,FNC-1652,"Closer to town is Lion Rock , shaped like a lion lying in wait .",lying
reporting,0.0,FNC-1652,"Closer to town is Lion Rock , shaped like a lion lying in wait .",lying
attaching,0.0,FNC-1652,"Closer to town is Lion Rock , shaped like a lion lying in wait .",lying
communication,0.6197835154,FNC-0419,"The eyewitness accounts came from calls made from the rear of the plane , from passengers originally seated further forward in the cabin , a sign that passengers and perhaps crew had been moved to the back of the aircraft .",calls
choosing,0.0,FNC-0419,"The eyewitness accounts came from calls made from the rear of the plane , from passengers originally seated further forward in the cabin , a sign that passengers and perhaps crew had been moved to the back of the aircraft .",calls
