,output.FrameType,aqs,aqs_initial
abandonment,12748,0.113362125818,0.115183246073
abounding_with,12748,0.102781106446,0.0671902268761
absorb_heat,12748,0.0511621990816,0.142857142857
abundance,12748,0.784669974443,0.655555555556
abusing,12748,0.924416631972,0.8
accomplishment,12748,0.484786663292,0.456973293769
accoutrements,12748,0.0694899850125,0.0714285714286
accuracy,12748,1e-08,1e-08
achieving_first,12748,0.209258934229,0.186057692308
active_substance,12748,0.141408159108,0.119402985075
activity_finish,12748,1e-08,1e-08
activity_ongoing,12748,0.562258618706,0.51684815487
activity_pause,12748,1e-08,1e-08
activity_prepare,12748,0.577341202327,0.481203007519
activity_ready_state,12748,1e-08,1e-08
activity_resume,12748,0.239913271126,0.21618743344
activity_start,12748,0.12095736054,0.176923076923
activity_stop,12748,0.257594704694,0.222527472527
actually_occurring_entity,12748,1e-08,1e-08
adding_up,12748,0.266888227725,0.233576642336
adducing,12748,0.0536150947064,0.0744047619048
adjusting,12748,0.223447770148,0.214132882883
adopt_selection,12748,0.523997492707,0.374166666667
aesthetics,12748,1e-08,1e-08
affirm_or_deny,12748,1e-08,1e-08
age,12748,1e-08,1e-08
aggregate,12748,0.159836320821,0.0954616588419
aging,12748,0.973078432234,0.928571428571
agree_or_refuse_to_act,12748,1e-08,1e-08
aiming,12748,0.875473312586,0.77614379085
altered_phase,12748,1e-08,1e-08
alternatives,12748,1e-08,1e-08
amalgamation,12748,0.392646886723,0.35379204893
amassing,12748,0.527909666003,0.428571428571
ambient_temperature,12748,1e-08,1e-08
ammunition,12748,1e-08,1e-08
amounting_to,12748,0.711949687488,0.563179074447
annoyance,12748,1e-08,1e-08
appeal,12748,0.271261049715,0.226890756303
appellations,12748,0.0560167432527,0.0857142857143
apply_heat,12748,1e-08,1e-08
appointing,12748,0.731234380642,0.584168609169
architectural_part,12748,1e-08,1e-08
arranging,12748,0.695204662881,0.58013277373
arriving,12748,0.722569230946,0.599917355372
artificiality,12748,1e-08,1e-08
artistic_style,12748,1e-08,1e-08
assemble,12748,0.488339565448,0.35046113307
assessing,12748,0.248997165595,0.214813822374
assistance,12748,0.142139263149,0.121207264957
attaching,12748,0.609899260085,0.508467690104
attack,12748,0.615781036875,0.517050147493
attempt,12748,0.533026715498,0.427662037037
attempt_means,12748,0.813199094661,0.649441340782
attempt_suasion,12748,0.302174704271,0.266515691516
attending,12748,1e-08,1e-08
attention,12748,1e-08,1e-08
attention_getting,12748,1e-08,1e-08
attributed_information,12748,0.271832953615,0.236111111111
authority,12748,1e-08,1e-08
avoiding,12748,0.882099155953,0.767744833783
awareness,12748,0.310767800597,0.293918010753
awareness_status,12748,1e-08,1e-08
bail_decision,12748,1e-08,1e-08
be_in_agreement_on_action,12748,0.093603338239,0.0769230769231
be_in_agreement_on_assessment,12748,0.256736333924,0.265204942737
be_on_alert,12748,1e-08,1e-08
be_subset_of,12748,1e-08,1e-08
be_translation_equivalent,12748,1e-08,1e-08
bearing_arms,12748,0.0438236281625,0.0714285714286
beat_opponent,12748,0.139334066849,0.142857142857
becoming,12748,0.789079313671,0.652463517923
becoming_a_member,12748,0.134557668998,0.132258064516
becoming_attached,12748,0.20943184772,0.188641552511
becoming_aware,12748,0.286441709995,0.253433174103
becoming_detached,12748,1e-08,1e-08
becoming_separated,12748,0.101271267989,0.0714285714286
becoming_silent,12748,1e-08,1e-08
becoming_visible,12748,0.474302326768,0.428571428571
behind_the_scenes,12748,0.0642833485858,0.0735294117647
being_active,12748,1e-08,1e-08
being_at_risk,12748,0.552035890766,0.467598343685
being_attached,12748,0.417948821679,0.326530612245
being_detached,12748,1e-08,1e-08
being_dry,12748,1e-08,1e-08
being_employed,12748,0.49584536338,0.393258739702
being_in_category,12748,0.242547902826,0.202830188679
being_in_control,12748,1e-08,1e-08
being_in_effect,12748,0.0707006082578,0.106452467051
being_in_operation,12748,0.475075324085,0.403581267218
being_incarcerated,12748,1e-08,1e-08
being_located,12748,0.163270516204,0.152203856749
being_named,12748,0.46095608026,0.400078247261
being_necessary,12748,0.614663778165,0.500949754902
being_obligated,12748,0.648307963201,0.573705179283
being_obligatory,12748,1e-08,1e-08
being_operational,12748,1e-08,1e-08
being_strong,12748,1e-08,1e-08
being_wet,12748,1e-08,1e-08
besieging,12748,0.86919591217,0.618827160494
beyond_compare,12748,1e-08,1e-08
biological_mechanisms,12748,1e-08,1e-08
biological_urge,12748,0.057682097266,0.0654205607477
board_vehicle,12748,0.295495315678,0.272727272727
body_decoration,12748,1e-08,1e-08
body_description_holistic,12748,1e-08,1e-08
body_description_part,12748,1e-08,1e-08
body_mark,12748,0.198254842832,0.214285714286
body_movement,12748,0.116698258693,0.120543683771
body_parts,12748,1e-08,1e-08
bond_maturation,12748,0.0255937207887,0.047619047619
borrowing,12748,1e-08,1e-08
boundary,12748,1e-08,1e-08
bragging,12748,0.630866434642,0.57261592301
breaking_apart,12748,0.329657244052,0.266666666667
breaking_off,12748,1e-08,1e-08
breathing,12748,1e-08,1e-08
bringing,12748,0.640687348283,0.484604881379
building,12748,0.148781585919,0.114650279618
building_subparts,12748,0.0434330195542,0.0714285714286
buildings,12748,1e-08,1e-08
bungling,12748,0.115943812873,0.154761904762
burying,12748,1e-08,1e-08
businesses,12748,1e-08,1e-08
calendric_unit,12748,1e-08,1e-08
candidness,12748,1e-08,1e-08
capability,12748,0.0818902928276,0.0714285714286
capacity,12748,0.0615324129405,0.0714285714286
capital_stock,12748,1e-08,1e-08
cardinal_numbers,12748,1e-08,1e-08
catastrophe,12748,0.213055519474,0.231182795699
categorization,12748,0.148645028352,0.137308522114
causation,12748,0.122332033121,0.115483317099
cause_change,12748,0.176251814624,0.158798219006
cause_change_of_consistency,12748,0.539445320067,0.438647342995
cause_change_of_phase,12748,0.28242466199,0.214285714286
cause_change_of_position_on_a_scale,12748,0.384677384699,0.320378151261
cause_change_of_strength,12748,0.802012280148,0.692028985507
cause_emotion,12748,1e-08,1e-08
cause_expansion,12748,0.339828554619,0.28619201726
cause_harm,12748,0.0394734618647,0.0714285714286
cause_impact,12748,0.113655252406,0.100378787879
cause_motion,12748,0.0868204424449,0.101841643762
cause_temperature_change,12748,0.430155174278,0.428571428571
cause_to_amalgamate,12748,0.326068710723,0.275555555556
cause_to_be_dry,12748,1e-08,1e-08
cause_to_be_included,12748,0.485723265279,0.37105845303
cause_to_be_sharp,12748,0.365390352827,0.324675324675
cause_to_be_wet,12748,0.282710606422,0.214285714286
cause_to_continue,12748,0.707719736236,0.628130511464
cause_to_end,12748,0.329731445662,0.25
cause_to_experience,12748,1e-08,1e-08
cause_to_fragment,12748,0.316003759214,0.258467023173
cause_to_land,12748,1e-08,1e-08
cause_to_make_noise,12748,0.438198856802,0.357142857143
cause_to_make_progress,12748,0.593729248898,0.521362586605
cause_to_move_in_place,12748,0.021558948767,0.0512820512821
cause_to_perceive,12748,0.270639647008,0.26518013363
cause_to_resume,12748,0.365670205698,0.285714285714
cause_to_start,12748,0.248851824454,0.198556723548
ceasing_to_be,12748,1e-08,1e-08
certainty,12748,0.0671576238684,0.07
change_direction,12748,0.0553472893581,0.0572916666667
change_event_duration,12748,0.409010407629,0.348558600019
change_event_time,12748,0.0840784038923,0.115384615385
change_of_consistency,12748,0.381649916389,0.359741784038
change_of_leadership,12748,0.169091895173,0.155360721443
change_of_phase,12748,0.14144498985,0.214285714286
change_of_quantity_of_possession,12748,0.118312425388,0.0820895522388
change_of_temperature,12748,0.492309973504,0.428571428571
change_operational_state,12748,0.242492756821,0.245302445302
change_position_on_a_scale,12748,0.352646822564,0.320397131427
change_posture,12748,0.0854417212717,0.047619047619
change_resistance,12748,1e-08,1e-08
