frame,fss_sent_centric,fss_sent_centric_initial,sent_id,sentence,word
none,0.111963865752,0.133333333333,VID-055556,"Since its opening in 1890, Akihabara Station became a major freight transit point, which allowed a vegetable and fruit market to spring up in the district.",spring
coming_to_be,0.519980513073,0.333333333333,VID-055556,"Since its opening in 1890, Akihabara Station became a major freight transit point, which allowed a vegetable and fruit market to spring up in the district.",spring
people,0.0,0.0,VID-055556,"Since its opening in 1890, Akihabara Station became a major freight transit point, which allowed a vegetable and fruit market to spring up in the district.",spring
communication,0.0,0.0,VID-055556,"Since its opening in 1890, Akihabara Station became a major freight transit point, which allowed a vegetable and fruit market to spring up in the district.",spring
becoming,0.405454658425,0.266666666667,VID-055556,"Since its opening in 1890, Akihabara Station became a major freight transit point, which allowed a vegetable and fruit market to spring up in the district.",spring
reporting,0.0310884703247,0.0666666666667,VID-055556,"Since its opening in 1890, Akihabara Station became a major freight transit point, which allowed a vegetable and fruit market to spring up in the district.",spring
measurable_attributes,0.0,0.0,VID-055556,"Since its opening in 1890, Akihabara Station became a major freight transit point, which allowed a vegetable and fruit market to spring up in the district.",spring
reveal_secret,0.0,0.0,VID-055556,"Since its opening in 1890, Akihabara Station became a major freight transit point, which allowed a vegetable and fruit market to spring up in the district.",spring
undergo_change,0.371148093437,0.266666666667,VID-055556,"Since its opening in 1890, Akihabara Station became a major freight transit point, which allowed a vegetable and fruit market to spring up in the district.",spring
differentiation,0.0855899098663,0.2,VID-055556,"Since its opening in 1890, Akihabara Station became a major freight transit point, which allowed a vegetable and fruit market to spring up in the district.",spring
body_movement,0.180852574449,0.2,VID-055556,"Since its opening in 1890, Akihabara Station became a major freight transit point, which allowed a vegetable and fruit market to spring up in the district.",spring
evidence,0.0310884703247,0.0666666666667,VID-055556,"Since its opening in 1890, Akihabara Station became a major freight transit point, which allowed a vegetable and fruit market to spring up in the district.",spring
change_position_on_a_scale,0.477828682158,0.4,VID-055556,"Since its opening in 1890, Akihabara Station became a major freight transit point, which allowed a vegetable and fruit market to spring up in the district.",spring
building,0.0,0.0,VID-292659,"Perhaps to fulfill a promise to his father or simply because he saw himself as 'dedicated to the liberal arts,' on 10 February 1702 Handel matriculated at the University of Halle.",fulfill
intentionally_act,0.0318274945662,0.0666666666667,VID-292659,"Perhaps to fulfill a promise to his father or simply because he saw himself as 'dedicated to the liberal arts,' on 10 February 1702 Handel matriculated at the University of Halle.",fulfill
experiencer_obj,0.0377821325575,0.0666666666667,VID-292659,"Perhaps to fulfill a promise to his father or simply because he saw himself as 'dedicated to the liberal arts,' on 10 February 1702 Handel matriculated at the University of Halle.",fulfill
coming_up_with,0.0,0.0,VID-292659,"Perhaps to fulfill a promise to his father or simply because he saw himself as 'dedicated to the liberal arts,' on 10 February 1702 Handel matriculated at the University of Halle.",fulfill
cause_to_end,0.0,0.0,VID-292659,"Perhaps to fulfill a promise to his father or simply because he saw himself as 'dedicated to the liberal arts,' on 10 February 1702 Handel matriculated at the University of Halle.",fulfill
causation,0.0977351704312,0.2,VID-292659,"Perhaps to fulfill a promise to his father or simply because he saw himself as 'dedicated to the liberal arts,' on 10 February 1702 Handel matriculated at the University of Halle.",fulfill
accomplishment,0.131700208877,0.133333333333,VID-292659,"Perhaps to fulfill a promise to his father or simply because he saw himself as 'dedicated to the liberal arts,' on 10 February 1702 Handel matriculated at the University of Halle.",fulfill
meet_specifications,0.864482697011,0.733333333333,VID-292659,"Perhaps to fulfill a promise to his father or simply because he saw himself as 'dedicated to the liberal arts,' on 10 February 1702 Handel matriculated at the University of Halle.",fulfill
satisfying,0.0927338292815,0.0666666666667,VID-292659,"Perhaps to fulfill a promise to his father or simply because he saw himself as 'dedicated to the liberal arts,' on 10 February 1702 Handel matriculated at the University of Halle.",fulfill
identicality,0.0609242434673,0.133333333333,VID-292659,"Perhaps to fulfill a promise to his father or simply because he saw himself as 'dedicated to the liberal arts,' on 10 February 1702 Handel matriculated at the University of Halle.",fulfill
none,0.0,0.0,VID-292659,"Perhaps to fulfill a promise to his father or simply because he saw himself as 'dedicated to the liberal arts,' on 10 February 1702 Handel matriculated at the University of Halle.",fulfill
sufficiency,0.250267106327,0.2,VID-292659,"Perhaps to fulfill a promise to his father or simply because he saw himself as 'dedicated to the liberal arts,' on 10 February 1702 Handel matriculated at the University of Halle.",fulfill
cause_change,0.0,0.0,VID-292659,"Perhaps to fulfill a promise to his father or simply because he saw himself as 'dedicated to the liberal arts,' on 10 February 1702 Handel matriculated at the University of Halle.",fulfill
cause_to_start,0.0,0.0,VID-292659,"Perhaps to fulfill a promise to his father or simply because he saw himself as 'dedicated to the liberal arts,' on 10 February 1702 Handel matriculated at the University of Halle.",fulfill
experiencer_focus,0.0,0.0,VID-292659,"Perhaps to fulfill a promise to his father or simply because he saw himself as 'dedicated to the liberal arts,' on 10 February 1702 Handel matriculated at the University of Halle.",fulfill
feeling,0.0,0.0,VID-292659,"Perhaps to fulfill a promise to his father or simply because he saw himself as 'dedicated to the liberal arts,' on 10 February 1702 Handel matriculated at the University of Halle.",fulfill
