worker,duration,job,judgment,unit,wqs,wwa,wsa,wqs_initial,wwa_initial,wsa_initial
A109CH3492UU42,27.0,1,1,1,0.406222950607,0.48445322378,0.838518417604,0.196690927382,0.29438002454,0.668153104781
A110KENBXU7SUJ,24.8,1,5,5,0.484682296977,0.614465952632,0.788786253983,0.231576103856,0.375259434086,0.617109345753
A11GWWAXRJQ6Y2,179.662054422,5,385,385,0.053128589258,0.193546056312,0.274501016814,0.0769309406351,0.206477909605,0.372586785589
A1506T1PAYRT16,489.185314685,2,63,63,0.390178423221,0.528769069,0.737899484096,0.188438216835,0.324749931815,0.580256370744
A171S8E9IFSHH2,43.710699326,6,286,286,0.442792903441,0.573100135594,0.772627462359,0.248812965879,0.390328576558,0.637444913907
A194E79BDFEZIU,99.0,1,1,1,0.226206201995,0.411997168389,0.54904795312,0.189410878602,0.352769816219,0.536924844171
A1BE2EQFHHB22K,1880.225,1,40,40,0.434618529552,0.555945344243,0.781764851622,0.276222286369,0.393988048522,0.701093059563
A1CPNA5L0J834N,546.829749104,3,38,38,0.372447276714,0.497923655416,0.748000768114,0.171125546784,0.296859872577,0.57645226786
A1F1BIPJR11LSR,78.6666666667,1,3,3,0.277183112555,0.446040801193,0.621429949487,0.220452641322,0.376204398729,0.58599166322
A1FVXS8IM5QYO8,44.3333333333,1,3,3,0.541821198795,0.612764491176,0.884224211091,0.244955111339,0.355586448679,0.688876396298
A1FW68HLKWGLGW,232.0,1,3,3,0.307728381705,0.46184606147,0.666300759879,0.157507765251,0.295186886983,0.533586592752
A1IHI23KH87K5W,409.608831077,5,385,385,0.416245309046,0.554264390651,0.750986922608,0.219706936508,0.366409838789,0.599620734079
A1J0GU26323WVA,17.75,1,8,8,0.182413012824,0.326722969616,0.55831095389,0.110878980661,0.239749687715,0.462478102549
A1LXW53Z5S9XG,61.6279146141,3,185,185,0.425088065201,0.572679639302,0.742278991652,0.251769337848,0.403351465536,0.624193437635
A1MQ9B05ZMM4YI,1292.5,2,3,3,0.0683421347543,0.204747444095,0.33378748661,0.0586737124017,0.166465805513,0.352467056046
A1QX1RYLCFXZJ9,836.71474359,2,87,87,0.363904919494,0.51088178965,0.712307478689,0.162236319784,0.304524125476,0.532753585714
A1SRF7085UM3HI,68.0,1,1,1,0.677402154669,0.692452358697,0.97826535813,0.545888866439,0.590872094367,0.923869770874
A1ZD9SJXQ9C6EW,82.5,1,2,2,0.508894305485,0.654168341774,0.777925608728,0.178871793228,0.35264632476,0.507227158399
A1ZRK6K5JUPJAV,50.0,1,1,1,0.351441440016,0.440740167688,0.797389177982,0.309076934041,0.381160077767,0.810884854079
A20PV3RB3I0W8S,238.666666667,1,9,9,0.419166850462,0.568964386404,0.736718959004,0.242434974291,0.399160726652,0.60736179214
A20VJWCDIBKTZI,35.6808510638,1,47,47,0.370271059487,0.509242259704,0.727101988162,0.147009465407,0.275239949546,0.534113836489
A219VCQZADQ45W,16.5666666667,1,30,30,0.439997456993,0.565753297394,0.777719650984,0.249521354186,0.391183114245,0.637863305187
A21AVVEQUEX7DA,198.083119403,6,390,390,0.0355378049874,0.158124198938,0.224746150343,0.0610253940794,0.184319919266,0.331084097272
A2541C8MY0BYV3,3.36857142857,4,356,356,0.0378166151297,0.166902375013,0.226579251055,0.0547731931488,0.178199095353,0.307370769983
