frame,definition,example
f:Artificiality,"An <em>Entity</em> is evaluated for whether or not it belongs to a particular <em>Type</em> in a context where its category membership is doubtful. The criterion or criteria that are relevant to evaluating <em>Type</em> membership depend on the individual lexical units and/or on the context. Typically, either the material composition of the <em>Entity</em>, its method of creation, or the identity (and proper authority) of its creators are critical for proper category membership. Note that <em>Entity</em> also covers behaviors.",<p class='list-group-item'>It can be hard to get your money back after discovering you've bought a <span id='phrase_example'>bogus</span> autograph  for hundreds or thousands of dollars! </p><p class='list-group-item'>A <span id='phrase_example'>bogus</span>  policeman  pulling over motorists was arrested after stopping a car carrying four real officers.</p><p class='list-group-item'>You people are pretty thick if you think you have evidence to prove that  the moon landing  was <span id='phrase_example'>fake</span>.</p>
f:Difficulty,"An <em>Experiencer</em> has an easy or difficult time carrying out an <em>Activity</em>. The ease or difficulty associated with the <em>Activity</em> seems to often be associated with a prominent participant. However, we consider this impression to be due to the syntax and pragmatics of the relevant sentence constructions and employ no special FE for such participants. The <em>Degree</em> of ease or difficulty is often specified as well as a set of <em>Circumstances</em>. A <em>Parameter</em> may be mentioned that indicates in which respect the <em>Activity</em> is judged to be easy or difficult.",<p class='list-group-item'>(1)  John  is <span id='phrase_example'>easy</span>  to please .</p><p class='list-group-item'>(2) It is <span id='phrase_example'>easy</span>  to get Alex annoyed .</p><p class='list-group-item'>(3)  Smithers  is  very  <span id='phrase_example'>tough</span>  for me   to please .</p><p class='list-group-item'>(4)  VWs  are <span id='phrase_example'>easy</span>  to repair .</p><p class='list-group-item'>(5)  The dating of western sculpture  is <span id='phrase_example'>difficult</span>.</p><p class='list-group-item'>(6)  In that kind of wind   the course  is  physically   very  <span id='phrase_example'>tricky</span>.</p><p class='list-group-item'>(7)  The last question on the exam  was <span id='phrase_example'>hard</span>. </p><p class='list-group-item'>(8) The last one was a <span id='phrase_example'>hard</span>  question   to answer .</p>
f:Body_description_part,This frame is concerned with words that describe a person based on a salient part of their body.,<p class='list-group-item'>He was a <span id='phrase_example'>blonde</span>  guy .</p><p class='list-group-item'> He  was a <span id='phrase_example'>peg-leg</span>.</p>
f:Measure_mass,"This frame is concerned with nouns that denote <em>Unit</em>s of measurement for masses. The Frame Elements are <em>Unit</em>, <em>Count</em>,  and <em>Stuff</em>.",<p class='list-group-item'>Jelena bought  three  <span id='phrase_example'> kilos </span>  of apples .</p><p class='list-group-item'>Add  a  <span id='phrase_example'> pound </span>  of sugar .</p>
f:Being_strong,An <em>Entity</em> can bear a great outer force so as to resist destruction and damage.,"<p class='list-group-item'>The great and <span id='phrase_example'>impregnable</span>  fortress  still stands today.</p><p class='list-group-item'> His heart  is  by no means  <span id='phrase_example'>strong</span>, so he should ease into his exercise regime.</p>"
f:Body_description_holistic,"This frame covers descriptions of an entire human body, viewed as a gestalt (as opposed to descriptions based on salient body parts).  The Frame Elements are <em>Individual</em> and <em>Figure</em>.",<p class='list-group-item'>Chuck  is <span id='phrase_example'>muscular</span>.</p><p class='list-group-item'> Chuck  has a <span id='phrase_example'>muscular</span> body.</p>
f:Ratification,A <em>Ratifier</em> responds to a <em>Proposal</em> constructed by another party to make it binding over the <em>Ratifier</em>'s jurisdiction or constituency.,"<p class='list-group-item'>The <span id='phrase_example'>ratification</span>  of the Kyoto protocol  has been a long, hard slog.</p><p class='list-group-item'> The US  is considering <span id='phrase_example'>ratifying</span>  the cybercrime treaty . </p><p class='list-group-item'> The Malaysian government  will <span id='phrase_example'>ratify</span>  the UN's anti-smoking programme  by the end of the year.</p>"
f:Activity_ready_state,"The <em>Protagonist</em> is in an initial state, before beginning to be involved in the <em>Activity</em>, but all pre-conditions for performance of the <em>Activity</em> have been satisfied.  In many cases, the <em>Protagonist</em> is an intentional agent, but there are other uses in which the agent is deprofiled, and the <em>Protagonist</em> is an entity which is essential to the <em>Activity</em>.  
Alternatively, the <em>Activity</em> may be indicated by a <em>Salient entity</em> which stands in for the <em>Activity</em>.  This <em>Salient entity</em> may also be an intentional agent, but need not be.","<p class='list-group-item'>She  's not <span id='phrase_example'>ready</span> !   .</p><p class='list-group-item'> He  's <span id='phrase_example'>ready</span>  to talk  , I think .</p><p class='list-group-item'>Is  the UK government  <span id='phrase_example'>ready</span>  to do a u-turn on passport-ID cards  ?</p><p class='list-group-item'>Check and see if  Sal  is <span id='phrase_example'>ready</span>  for the bathtub  .</p><p class='list-group-item'> The world  is finally <span id='phrase_example'>prepared</span>  for him  !</p>"
f:Indigenous_origin,"An <em>Entity</em> began its existence in the context of a location of <em>Origin</em>, which is a discourse-salient place, or culture.","<p class='list-group-item'>Obviously there are  species   that  are <span id='phrase_example'>native</span>  to China  or used in Chinese Medicine that aren't used in Western or Cherokee Medicine and vice versa. </p><p class='list-group-item'>The <span id='phrase_example'>indigenous</span>  people , women and the elderly are the most affected.   </p><p class='list-group-item'>The Athenians believed that  they  were '<span id='phrase_example'>autochthonous</span>'  in Attica .</p>"
f:Completeness,"A <em>Whole</em>, an entity with a substructure, is assessed for whether or not it has all the necessary parts that are defined for it or for an entity of its kind. The entity can be a concrete physical thing, an abstract thing, or a process with goals or sub-goals.","<p class='list-group-item'>What happens after  the PPB investigation  is <span id='phrase_example'>complete</span>? </p><p class='list-group-item'>Enter the number of days since the last <span id='phrase_example'>complete</span>  backup  was made.</p><p class='list-group-item'>This distinguishes them from organisms in the phylum Platyhelminthes, who have only an <span id='phrase_example'>incomplete</span>  digestive tract .</p><p class='list-group-item'>We now have an  almost  <span id='phrase_example'>complete</span>  understanding  of the model</p><p class='list-group-item'>Auditors should also assess the accuracy and <span id='phrase_example'>completeness</span>  of the systems and data .</p>"
