,output.FrameType,aqs,aqs_initial
abandonment,15438,0.255554244964,0.224880382775
abounding_with,15438,0.353495787398,0.283753882652
absorb_heat,15438,0.238697744138,0.214285714286
abundance,15438,1e-08,1e-08
abusing,15438,1e-08,1e-08
accomplishment,15438,0.111249259654,0.0869565217391
accoutrements,15438,0.0103549035291,0.0714285714286
accuracy,15438,1e-08,1e-08
achieving_first,15438,0.387749135975,0.314814814815
active_substance,15438,0.17670103027,0.185792349727
activity_finish,15438,0.0984702185606,0.0714285714286
activity_ongoing,15438,0.288043852623,0.255395683453
activity_pause,15438,1e-08,1e-08
activity_prepare,15438,0.119578970249,0.142857142857
activity_ready_state,15438,1e-08,1e-08
activity_resume,15438,0.367567914205,0.323350545037
activity_start,15438,0.309479100685,0.232142857143
activity_stop,15438,0.195895043607,0.170731707317
actually_occurring_entity,15438,1e-08,1e-08
adding_up,15438,0.139279105655,0.153846153846
adducing,15438,0.0178340480513,0.047619047619
adjusting,15438,0.656272003775,0.580756929638
adopt_selection,15438,0.236660878553,0.171428571429
aesthetics,15438,1e-08,1e-08
affirm_or_deny,15438,1e-08,1e-08
age,15438,1e-08,1e-08
aggregate,15438,0.151710194198,0.158415841584
aging,15438,0.478813026018,0.428571428571
agree_or_refuse_to_act,15438,1e-08,1e-08
aiming,15438,1e-08,1e-08
altered_phase,15438,1e-08,1e-08
alternatives,15438,1e-08,1e-08
amalgamation,15438,0.597846357706,0.52438230009
amassing,15438,0.263597036374,0.285714285714
ambient_temperature,15438,1e-08,1e-08
ammunition,15438,1e-08,1e-08
amounting_to,15438,0.652069062952,0.553364269142
annoyance,15438,1e-08,1e-08
appeal,15438,0.455780732456,0.372727272727
appellations,15438,0.348377468068,0.357142857143
apply_heat,15438,0.155687470289,0.142857142857
appointing,15438,0.53329384065,0.439729880256
architectural_part,15438,1e-08,1e-08
arranging,15438,0.575588417253,0.491815600302
arriving,15438,0.294383853394,0.248868778281
artificiality,15438,1e-08,1e-08
artistic_style,15438,1e-08,1e-08
assemble,15438,0.367777105013,0.370503597122
assessing,15438,0.452221276514,0.373361576136
assistance,15438,0.330482858158,0.263563218391
attaching,15438,0.486311596011,0.431812219002
attack,15438,0.450717903697,0.335294117647
attempt,15438,0.483359225486,0.372222222222
attempt_means,15438,0.494241209341,0.473559962229
attempt_suasion,15438,0.34403965057,0.279945242984
attending,15438,1e-08,1e-08
attention,15438,1e-08,1e-08
attention_getting,15438,1e-08,1e-08
attributed_information,15438,0.0430032506751,0.0714285714286
authority,15438,1e-08,1e-08
avoiding,15438,0.0704765710583,0.104166666667
awareness,15438,0.162166307181,0.135450089127
awareness_status,15438,1e-08,1e-08
bail_decision,15438,1e-08,1e-08
be_in_agreement_on_action,15438,1e-08,1e-08
be_in_agreement_on_assessment,15438,0.252733371371,0.255072339941
be_on_alert,15438,1e-08,1e-08
be_subset_of,15438,1e-08,1e-08
be_translation_equivalent,15438,0.32379812529,0.324675324675
bearing_arms,15438,1e-08,1e-08
beat_opponent,15438,0.554315768151,0.477836879433
becoming,15438,1e-08,1e-08
becoming_a_member,15438,0.530045375666,0.429051987768
becoming_attached,15438,0.312789345399,0.251576576577
becoming_aware,15438,0.442998354288,0.360129915294
becoming_detached,15438,1e-08,1e-08
becoming_separated,15438,0.3191597483,0.375
becoming_silent,15438,1e-08,1e-08
becoming_visible,15438,1e-08,1e-08
behind_the_scenes,15438,0.143238077627,0.2
being_active,15438,1e-08,1e-08
being_at_risk,15438,0.205931805656,0.155844155844
being_attached,15438,0.0760172495333,0.0714285714286
being_detached,15438,1e-08,1e-08
being_dry,15438,1e-08,1e-08
being_employed,15438,0.419955412529,0.394430590191
being_in_category,15438,0.327353500605,0.285714285714
being_in_control,15438,1e-08,1e-08
being_in_effect,15438,1e-08,1e-08
being_in_operation,15438,1e-08,1e-08
being_incarcerated,15438,1e-08,1e-08
being_located,15438,0.448745577549,0.401725589226
being_named,15438,0.211255481001,0.181818181818
being_necessary,15438,0.363720230424,0.285714285714
being_obligated,15438,0.384151495504,0.303571428571
being_obligatory,15438,1e-08,1e-08
being_operational,15438,1e-08,1e-08
being_strong,15438,1e-08,1e-08
being_wet,15438,1e-08,1e-08
besieging,15438,0.637703363159,0.5
beyond_compare,15438,1e-08,1e-08
biological_mechanisms,15438,1e-08,1e-08
biological_urge,15438,1e-08,1e-08
board_vehicle,15438,1e-08,1e-08
body_decoration,15438,1e-08,1e-08
body_description_holistic,15438,1e-08,1e-08
body_description_part,15438,1e-08,1e-08
body_mark,15438,0.2137789378,0.199842022117
body_movement,15438,0.168368915312,0.150828938165
body_parts,15438,1e-08,1e-08
bond_maturation,15438,0.253637503387,0.286764705882
borrowing,15438,1e-08,1e-08
boundary,15438,0.497713838524,0.5
bragging,15438,1e-08,1e-08
breaking_apart,15438,0.0422973476808,0.0714285714286
breaking_off,15438,0.288969422512,0.285714285714
breathing,15438,1e-08,1e-08
bringing,15438,0.513046577875,0.396539548023
building,15438,0.265810032697,0.238681560281
building_subparts,15438,0.201474367119,0.247863247863
buildings,15438,0.0540440641621,0.0541490857947
bungling,15438,0.554168321176,0.454838709677
burying,15438,1e-08,1e-08
businesses,15438,0.115990940004,0.0975609756098
calendric_unit,15438,1e-08,1e-08
candidness,15438,1e-08,1e-08
capability,15438,1e-08,1e-08
capacity,15438,1e-08,1e-08
capital_stock,15438,1e-08,1e-08
cardinal_numbers,15438,1e-08,1e-08
catastrophe,15438,1e-08,1e-08
categorization,15438,0.51933616952,0.438148476782
causation,15438,0.220554442526,0.180443570657
cause_change,15438,0.355108771285,0.284696174118
cause_change_of_consistency,15438,0.336967938361,0.288888888889
cause_change_of_phase,15438,0.642408245761,0.506818181818
cause_change_of_position_on_a_scale,15438,0.255298161172,0.216145964559
cause_change_of_strength,15438,0.531177743794,0.415697674419
cause_emotion,15438,1e-08,1e-08
cause_expansion,15438,0.243342079155,0.22322775264
