frame,fss_sent_centric,fss_sent_centric_initial,sent_id,sentence,word
being_obligatory,0.577859299267,0.6,VID-223551,"She sent him the selection from 'Living My Life' about 'the right to self-expression, everybody's right to beautiful, radiant things', recounting that she had been admonished 'that it did not behoove an agitator to dance'.",behoove
identicality,0.0,0.0,VID-223551,"She sent him the selection from 'Living My Life' about 'the right to self-expression, everybody's right to beautiful, radiant things', recounting that she had been admonished 'that it did not behoove an agitator to dance'.",behoove
compatibility,0.19933069597,0.2,VID-223551,"She sent him the selection from 'Living My Life' about 'the right to self-expression, everybody's right to beautiful, radiant things', recounting that she had been admonished 'that it did not behoove an agitator to dance'.",behoove
none,0.0,0.0,VID-223551,"She sent him the selection from 'Living My Life' about 'the right to self-expression, everybody's right to beautiful, radiant things', recounting that she had been admonished 'that it did not behoove an agitator to dance'.",behoove
meet_specifications,0.429953964706,0.4,VID-223551,"She sent him the selection from 'Living My Life' about 'the right to self-expression, everybody's right to beautiful, radiant things', recounting that she had been admonished 'that it did not behoove an agitator to dance'.",behoove
origin,0.176114933103,0.2,VID-104766,The ISPE is an international body that certifies this now rapidly emerging interdisciplinary science.,emerging
none,0.0,0.0,VID-104766,The ISPE is an international body that certifies this now rapidly emerging interdisciplinary science.,emerging
coming_to_be,1.0,1.0,VID-104766,The ISPE is an international body that certifies this now rapidly emerging interdisciplinary science.,emerging
departing,0.0662511144351,0.0666666666667,VID-104766,The ISPE is an international body that certifies this now rapidly emerging interdisciplinary science.,emerging
travel,0.0,0.0,VID-104766,The ISPE is an international body that certifies this now rapidly emerging interdisciplinary science.,emerging
emanating,0.287553586763,0.266666666667,VID-104766,The ISPE is an international body that certifies this now rapidly emerging interdisciplinary science.,emerging
path_shape,0.148863582772,0.133333333333,VID-104766,The ISPE is an international body that certifies this now rapidly emerging interdisciplinary science.,emerging
fluidic_motion,0.0,0.0,VID-104766,The ISPE is an international body that certifies this now rapidly emerging interdisciplinary science.,emerging
becoming,0.438287787382,0.4,VID-104766,The ISPE is an international body that certifies this now rapidly emerging interdisciplinary science.,emerging
none,0.0784858559205,0.0666666666667,VID-289272,"Some biblical scholars consider the synoptic gospels to contain much reliable historical information about the historical Jesus as a Galilean teacher and of the religious movement he founded, but not everything contained in the gospels is considered to be historically reliable.",consider
categorization,0.0,0.0,VID-289272,"Some biblical scholars consider the synoptic gospels to contain much reliable historical information about the historical Jesus as a Galilean teacher and of the religious movement he founded, but not everything contained in the gospels is considered to be historically reliable.",consider
text_creation,0.0349706527757,0.0666666666667,VID-289272,"Some biblical scholars consider the synoptic gospels to contain much reliable historical information about the historical Jesus as a Galilean teacher and of the religious movement he founded, but not everything contained in the gospels is considered to be historically reliable.",consider
being_employed,0.0349706527757,0.0666666666667,VID-289272,"Some biblical scholars consider the synoptic gospels to contain much reliable historical information about the historical Jesus as a Galilean teacher and of the religious movement he founded, but not everything contained in the gospels is considered to be historically reliable.",consider
studying,0.151177096377,0.133333333333,VID-289272,"Some biblical scholars consider the synoptic gospels to contain much reliable historical information about the historical Jesus as a Galilean teacher and of the religious movement he founded, but not everything contained in the gospels is considered to be historically reliable.",consider
regard,0.355816019615,0.333333333333,VID-289272,"Some biblical scholars consider the synoptic gospels to contain much reliable historical information about the historical Jesus as a Galilean teacher and of the religious movement he founded, but not everything contained in the gospels is considered to be historically reliable.",consider
perception_active,0.181587627155,0.2,VID-289272,"Some biblical scholars consider the synoptic gospels to contain much reliable historical information about the historical Jesus as a Galilean teacher and of the religious movement he founded, but not everything contained in the gospels is considered to be historically reliable.",consider
scrutiny,0.216474053313,0.2,VID-289272,"Some biblical scholars consider the synoptic gospels to contain much reliable historical information about the historical Jesus as a Galilean teacher and of the religious movement he founded, but not everything contained in the gospels is considered to be historically reliable.",consider
grasp,0.0,0.0,VID-289272,"Some biblical scholars consider the synoptic gospels to contain much reliable historical information about the historical Jesus as a Galilean teacher and of the religious movement he founded, but not everything contained in the gospels is considered to be historically reliable.",consider
assessing,0.328174236401,0.333333333333,VID-289272,"Some biblical scholars consider the synoptic gospels to contain much reliable historical information about the historical Jesus as a Galilean teacher and of the religious movement he founded, but not everything contained in the gospels is considered to be historically reliable.",consider
communication,0.136556260249,0.133333333333,VID-289272,"Some biblical scholars consider the synoptic gospels to contain much reliable historical information about the historical Jesus as a Galilean teacher and of the religious movement he founded, but not everything contained in the gospels is considered to be historically reliable.",consider
communication_manner,0.0,0.0,VID-289272,"Some biblical scholars consider the synoptic gospels to contain much reliable historical information about the historical Jesus as a Galilean teacher and of the religious movement he founded, but not everything contained in the gospels is considered to be historically reliable.",consider
opinion,0.222643468224,0.2,VID-289272,"Some biblical scholars consider the synoptic gospels to contain much reliable historical information about the historical Jesus as a Galilean teacher and of the religious movement he founded, but not everything contained in the gospels is considered to be historically reliable.",consider
cogitation,0.496394144783,0.466666666667,VID-289272,"Some biblical scholars consider the synoptic gospels to contain much reliable historical information about the historical Jesus as a Galilean teacher and of the religious movement he founded, but not everything contained in the gospels is considered to be historically reliable.",consider
criminal_investigation,0.0,0.0,VID-289272,"Some biblical scholars consider the synoptic gospels to contain much reliable historical information about the historical Jesus as a Galilean teacher and of the religious movement he founded, but not everything contained in the gospels is considered to be historically reliable.",consider
gizmo,0.0,0.0,VID-289272,"Some biblical scholars consider the synoptic gospels to contain much reliable historical information about the historical Jesus as a Galilean teacher and of the religious movement he founded, but not everything contained in the gospels is considered to be historically reliable.",consider
none,0.0,0.0,VID-061213,"Stellar models predict it only has about 50% more mass than the Sun, yet it shines with 425 times the Sun's luminosity due to the expanded radius.",shines
location_of_light,0.557706603089,0.533333333333,VID-061213,"Stellar models predict it only has about 50% more mass than the Sun, yet it shines with 425 times the Sun's luminosity due to the expanded radius.",shines
electricity,0.0583831514199,0.0666666666667,VID-061213,"Stellar models predict it only has about 50% more mass than the Sun, yet it shines with 425 times the Sun's luminosity due to the expanded radius.",shines
perception_active,0.0,0.0,VID-061213,"Stellar models predict it only has about 50% more mass than the Sun, yet it shines with 425 times the Sun's luminosity due to the expanded radius.",shines
performers_and_roles,0.0,0.0,VID-061213,"Stellar models predict it only has about 50% more mass than the Sun, yet it shines with 425 times the Sun's luminosity due to the expanded radius.",shines
emanating,0.430170156522,0.4,VID-061213,"Stellar models predict it only has about 50% more mass than the Sun, yet it shines with 425 times the Sun's luminosity due to the expanded radius.",shines
eventive_affecting,0.0,0.0,VID-061213,"Stellar models predict it only has about 50% more mass than the Sun, yet it shines with 425 times the Sun's luminosity due to the expanded radius.",shines
light_movement,0.847429462537,0.8,VID-061213,"Stellar models predict it only has about 50% more mass than the Sun, yet it shines with 425 times the Sun's luminosity due to the expanded radius.",shines
expertise,0.0664286048434,0.0666666666667,VID-061213,"Stellar models predict it only has about 50% more mass than the Sun, yet it shines with 425 times the Sun's luminosity due to the expanded radius.",shines
state_of_entity,0.158225223618,0.133333333333,VID-061213,"Stellar models predict it only has about 50% more mass than the Sun, yet it shines with 425 times the Sun's luminosity due to the expanded radius.",shines
cause_change,0.0,0.0,VID-061213,"Stellar models predict it only has about 50% more mass than the Sun, yet it shines with 425 times the Sun's luminosity due to the expanded radius.",shines
feeling,0.0,0.0,VID-061213,"Stellar models predict it only has about 50% more mass than the Sun, yet it shines with 425 times the Sun's luminosity due to the expanded radius.",shines
event,0.0,0.0,VID-061213,"Stellar models predict it only has about 50% more mass than the Sun, yet it shines with 425 times the Sun's luminosity due to the expanded radius.",shines
none,0.0,0.0,VID-157439,"In 1999 Lucian Freud painted and etched several copies after 'The Young Schoolmistress' (National Gallery, London).",etched
people,0.0,0.0,VID-157439,"In 1999 Lucian Freud painted and etched several copies after 'The Young Schoolmistress' (National Gallery, London).",etched
